customer_id,age,gender,annual_income,spending_score,purchase_frequency,last_purchase_days,total_purchases,average_order_value,product_category,loyalty_years,customer_rating,churn_label,region
C212,68,Male,43312,54,19,51,125,365,Sports,6,5.0,0,North
C213,59,Female,63108,76,28,117,133,619,Beauty,4,2.0,0,East
C214,61,Male,86918,46,20,46,161,487,Sports,7,3.0,0,North
C215,41,Male,54171,47,21,309,81,320,Food,3,4.4,0,West
C216,32,Male,61779,15,6,88,59,191,Electronics,6,2.0,0,West
C217,49,Female,88828,19,17,208,97,352,Electronics,4,2.7,0,West
C218,49,Male,127315,26,16,269,88,649,Electronics,4,3.5,1,East
C219,41,Male,118723,52,29,89,242,666,Food,8,2.9,0,East
C220,58,Male,32411,93,44,118,365,341,Sports,8,2.8,0,North
C221,69,Female,122821,22,11,54,105,680,Fashion,8,2.5,0,South
C222,66,Female,137990,21,9,116,63,631,Electronics,5,3.3,0,South
C223,66,Male,77009,51,29,118,155,484,Fashion,5,3.5,0,West
C224,69,Female,35422,38,19,260,92,367,Beauty,4,3.6,0,South
C225,29,Female,62468,20,13,75,124,396,Food,8,1.3,0,West
C226,56,Female,52371,29,17,305,158,335,Sports,9,3.5,0,North
C227,19,Male,77022,51,30,7,43,502,Sports,1,4.8,0,South
C228,20,Male,91229,4,9,122,36,423,Beauty,2,3.2,0,South
C229,66,Male,119071,55,25,11,167,629,Sports,6,3.9,0,West
C230,54,Male,71196,71,31,348,164,512,Sports,5,3.2,1,North
C231,66,Male,100354,92,41,215,178,706,Electronics,4,4.4,0,South
C232,34,Female,116774,28,20,279,77,544,Electronics,3,4.7,0,South
C233,66,Male,116410,4,3,28,35,429,Fashion,2,1.7,0,South
C234,19,Male,46715,22,8,235,12,239,Electronics,1,2.7,1,North
C235,19,Female,47605,76,39,313,37,369,Beauty,0,2.6,0,North
C236,45,Male,119853,45,18,26,117,617,Fashion,5,2.6,0,South
C237,40,Female,51174,67,36,54,128,316,Beauty,3,1.5,0,West
C238,54,Female,29956,86,37,29,209,394,Fashion,5,4.3,0,West
C239,49,Male,124444,66,25,353,74,614,Fashion,2,1.1,1,South
C240,50,Female,96373,88,38,164,129,629,Beauty,3,3.1,0,North
C241,18,Female,89252,34,23,270,22,484,Fashion,0,3.6,0,South
C242,36,Female,81949,91,39,334,324,640,Fashion,8,1.8,1,North
C243,19,Female,82646,55,27,35,22,529,Electronics,0,4.6,0,South
C244,70,Female,90017,1,4,286,37,379,Food,6,4.4,1,North
C245,61,Female,83037,72,33,348,312,492,Fashion,9,2.9,1,East
C246,43,Male,109818,87,40,273,67,749,Food,1,2.6,0,West
C247,49,Male,26548,38,18,208,87,165,Food,4,1.9,1,East
C248,23,Male,136981,6,2,238,29,620,Sports,0,3.9,1,West
C249,49,Female,123141,86,41,93,415,781,Sports,10,1.5,0,North
C250,21,Male,93294,25,10,173,43,516,Fashion,2,3.7,0,East
C251,28,Female,129204,82,40,79,339,764,Fashion,8,4.4,0,West
C252,34,Female,43177,17,15,110,176,182,Sports,10,1.9,0,South
C253,55,Female,44022,61,22,217,130,294,Fashion,5,4.5,0,North
C254,41,Female,126297,12,12,358,62,482,Fashion,3,1.1,0,North
C255,22,Female,140695,6,12,106,73,498,Fashion,4,4.7,0,South
C256,69,Female,25542,90,38,47,216,419,Beauty,5,1.5,0,South
C257,51,Male,111012,27,11,181,70,578,Fashion,4,3.6,0,West
C258,23,Female,116320,8,9,64,18,516,Fashion,0,2.0,0,North
C259,39,Male,80428,83,39,246,418,569,Food,10,4.3,0,West
C260,28,Male,42740,65,28,244,185,469,Food,6,3.0,1,South
C261,65,Female,79353,57,29,320,279,483,Electronics,9,1.5,1,North
C262,33,Female,110353,93,38,87,363,731,Fashion,9,3.3,1,South
C263,50,Male,133132,99,43,217,433,827,Sports,10,2.6,0,West
C264,26,Female,76532,40,19,7,21,409,Beauty,1,3.6,0,West
C265,23,Female,36052,14,6,278,31,217,Food,5,4.5,0,West
C266,33,Female,120689,35,24,337,202,556,Fashion,8,2.6,1,North
C267,46,Female,67076,48,29,210,33,377,Electronics,0,2.2,1,South
C268,20,Female,73420,84,40,169,97,579,Beauty,2,1.1,1,South
C269,37,Female,20671,56,21,330,201,225,Sports,9,3.3,1,West
C270,53,Female,20163,49,17,138,86,234,Electronics,5,2.6,1,West
C271,36,Female,61424,13,6,306,60,267,Electronics,8,2.5,1,West
C272,43,Female,129538,61,25,230,29,700,Sports,0,1.7,0,West
C273,20,Female,73744,49,29,308,82,408,Fashion,2,2.7,1,East
C274,36,Male,90331,46,16,161,131,467,Fashion,8,4.9,0,East
C275,37,Male,30634,62,27,1,281,267,Electronics,10,2.2,0,East
C276,49,Male,24798,8,4,236,33,165,Fashion,4,3.4,0,West
C277,24,Male,42420,43,15,188,83,307,Fashion,4,4.1,0,West
C278,69,Female,137043,20,6,4,56,654,Sports,5,4.0,0,South
C279,58,Female,140575,97,48,132,27,904,Fashion,0,2.3,0,North
C280,50,Female,147158,90,34,218,25,835,Fashion,0,3.4,1,South
C281,57,Male,49300,39,20,260,180,358,Fashion,8,4.5,0,East
C282,56,Female,109881,85,41,1,86,693,Fashion,2,1.1,0,South
C283,35,Female,30749,49,24,71,93,262,Electronics,3,2.7,0,West
C284,57,Female,124131,64,24,178,34,751,Fashion,0,1.9,1,East
C285,18,Female,45121,62,32,189,23,394,Sports,0,2.6,0,East
C286,28,Female,148563,54,31,291,262,738,Electronics,8,2.7,1,North
C287,45,Male,57487,9,7,8,63,281,Electronics,7,4.0,0,North
C288,42,Female,113947,88,40,253,44,656,Electronics,1,1.4,0,East
C289,67,Male,53361,37,19,292,149,336,Fashion,7,3.1,0,East
C290,40,Male,41223,49,27,244,186,236,Beauty,6,3.3,0,South
C291,48,Female,92930,41,23,123,259,445,Electronics,10,3.0,0,East
C292,47,Male,34056,17,14,299,92,216,Beauty,5,3.9,1,West
C293,59,Female,48380,88,45,283,23,324,Electronics,0,2.5,0,South
C294,52,Male,46035,21,12,32,89,337,Sports,6,4.8,0,West
C295,24,Female,50620,51,22,334,47,397,Fashion,1,2.9,1,West
C296,33,Male,39877,59,21,146,136,244,Food,6,3.3,0,West
C297,43,Female,145481,39,24,156,214,818,Fashion,8,4.3,0,East
C298,65,Female,75316,55,28,16,30,599,Fashion,0,2.1,0,North
C299,69,Male,84041,41,26,355,42,450,Sports,1,1.3,1,North
C300,66,Female,128940,39,19,47,216,586,Sports,10,3.8,0,West
C301,19,Female,137360,13,4,251,10,672,Fashion,0,2.9,1,East
C302,18,Male,73352,64,28,187,43,468,Electronics,0,4.6,0,South
C303,65,Male,50911,11,3,31,31,244,Electronics,8,4.9,0,West
C304,29,Female,52784,19,5,260,53,329,Sports,5,2.6,0,South
C305,22,Female,23191,11,8,17,30,118,Fashion,3,2.7,0,South
C306,54,Female,53160,77,40,39,136,431,Fashion,3,2.6,0,East
C307,49,Female,110536,46,17,304,88,516,Food,4,2.3,1,East
C308,26,Male,124576,45,28,39,72,601,Beauty,2,4.1,0,North
C309,58,Male,84641,1,1,132,7,328,Food,0,4.0,0,North
C310,52,Female,69723,40,26,30,22,336,Sports,0,2.9,0,East
C311,36,Male,23631,19,15,158,104,94,Sports,6,1.2,1,West
C312,65,Male,26172,76,32,278,27,334,Fashion,0,2.2,0,North
C313,33,Female,62080,72,30,203,41,371,Fashion,0,2.2,1,South
C314,20,Female,109097,72,32,66,90,608,Sports,2,4.2,0,West
C315,37,Female,110353,61,22,108,212,721,Fashion,9,1.4,0,South
C316,41,Female,40281,12,9,268,34,179,Beauty,3,4.2,0,East
C317,50,Female,48671,61,24,222,73,354,Electronics,3,3.7,0,South
C318,41,Female,142811,33,14,292,40,652,Electronics,1,3.9,1,West
C319,69,Female,71431,45,24,18,37,404,Beauty,0,2.7,0,East
C320,28,Male,110900,90,37,90,87,742,Food,2,3.7,0,West
C321,66,Male,142139,92,43,181,450,869,Fashion,10,3.4,0,South
C322,25,Female,127210,69,36,255,111,696,Sports,3,4.1,0,West
C323,53,Female,147734,8,5,253,30,604,Food,2,2.8,0,East
C324,55,Male,112961,25,14,257,102,592,Fashion,7,2.9,0,South
C325,57,Male,135463,91,37,346,362,739,Electronics,9,3.6,0,South
C326,37,Male,48602,46,16,87,34,329,Sports,0,1.4,0,North
C327,52,Male,108789,87,40,90,51,702,Beauty,1,2.7,0,North
C328,65,Female,71399,30,13,237,80,336,Electronics,6,4.9,0,West
C329,42,Male,43472,47,24,70,86,309,Beauty,3,1.2,0,North
C330,52,Female,69230,87,37,44,271,492,Beauty,7,2.3,0,North
C331,42,Female,93616,49,17,200,187,553,Fashion,10,2.3,1,North
C332,46,Female,27099,47,27,152,66,182,Food,2,3.5,0,North
C333,35,Female,138614,84,33,86,191,859,Fashion,5,1.4,0,East
C334,63,Male,45431,82,40,19,332,424,Fashion,8,3.5,0,East
C335,35,Female,76492,18,6,101,4,337,Sports,0,1.4,1,North
C336,19,Male,116722,66,32,95,29,614,Beauty,0,1.4,0,West
C337,52,Male,67684,68,36,254,266,526,Food,7,3.9,0,East
C338,33,Female,50111,94,35,357,94,449,Fashion,2,2.3,0,North
C339,58,Male,125387,33,23,30,94,542,Electronics,4,4.9,0,East
C340,53,Male,83936,36,20,249,22,496,Electronics,0,1.1,1,South
C341,50,Female,42614,82,38,33,178,371,Fashion,4,2.8,0,East
C342,21,Male,112260,19,12,229,45,501,Electronics,2,1.5,1,East
C343,50,Female,61991,28,16,12,108,372,Food,5,2.4,0,West
C344,31,Male,90476,40,24,118,184,489,Fashion,7,5.0,0,East
C345,38,Female,137959,84,42,350,88,890,Sports,2,4.6,0,West
C346,65,Female,80920,97,36,155,80,572,Fashion,2,1.2,1,South
C347,37,Female,114294,76,38,246,382,674,Food,10,3.3,1,North
C348,25,Female,83530,15,11,332,32,372,Fashion,2,3.6,1,West
C349,24,Male,56224,41,23,247,32,378,Electronics,1,1.8,1,East
C350,20,Female,27788,39,15,29,30,292,Electronics,0,1.6,1,East
C351,34,Male,48082,2,8,161,39,202,Fashion,3,4.6,0,West
C352,50,Female,143287,63,29,235,100,755,Beauty,3,4.9,0,South
C353,65,Male,109570,29,19,190,137,451,Electronics,6,5.0,0,North
C354,29,Female,121015,74,27,117,44,711,Sports,1,4.2,1,East
C355,68,Male,96816,66,24,271,184,552,Beauty,7,3.7,0,South
C356,39,Female,103588,51,27,258,163,598,Sports,5,2.4,1,North
C357,39,Female,36531,75,40,180,82,350,Electronics,2,1.7,0,North
C358,63,Female,108340,77,32,172,276,652,Beauty,8,1.3,0,East
C359,47,Male,114439,10,6,274,44,414,Electronics,4,3.8,0,West
C360,55,Female,64857,14,10,259,97,210,Fashion,7,4.1,1,East
C361,55,Male,30142,82,36,135,230,459,Beauty,6,4.3,0,East
C362,62,Male,135053,51,25,171,178,699,Food,7,4.7,0,East
C363,68,Male,68355,73,32,210,215,512,Fashion,6,4.5,0,South
C364,25,Male,29866,39,18,236,48,190,Fashion,2,5.0,0,West
C365,44,Female,90067,28,10,186,18,488,Fashion,1,2.0,1,South
C366,44,Female,130990,3,4,364,26,567,Fashion,6,4.1,0,East
C367,51,Male,123634,84,35,95,74,706,Fashion,2,3.3,0,West
C368,38,Male,123814,70,38,11,90,652,Beauty,2,2.0,0,North
C369,47,Male,145426,27,10,68,26,626,Beauty,1,4.9,0,West
C370,50,Male,84027,2,3,210,28,340,Beauty,3,4.6,1,East
C371,45,Female,77906,93,42,196,296,598,Fashion,7,1.5,1,West
C372,64,Male,48138,38,21,98,22,308,Food,0,1.1,0,North
C373,50,Male,112601,3,1,93,29,524,Beauty,0,3.8,0,North
C374,22,Male,49956,16,6,22,32,212,Beauty,3,3.4,0,West
C375,65,Female,127268,94,37,172,154,736,Fashion,4,4.7,0,North
C376,36,Female,124797,40,24,134,253,619,Electronics,10,1.9,0,South
C377,21,Female,144917,2,5,25,6,501,Electronics,0,1.3,0,West
C378,52,Female,146303,81,30,185,322,862,Food,10,2.0,0,North
C379,66,Female,96295,41,18,85,27,513,Food,0,1.1,0,North
C380,34,Male,25439,12,4,55,32,120,Sports,5,1.1,0,West
C381,61,Female,67241,35,13,251,26,354,Fashion,0,4.7,0,South
C382,45,Female,62533,65,31,144,151,490,Electronics,4,2.4,0,West
C383,47,Female,48270,55,22,351,198,401,Fashion,8,2.6,0,North
C384,46,Female,98815,45,22,167,109,517,Fashion,4,1.1,0,West
C385,63,Female,59279,79,40,224,219,503,Electronics,5,2.1,0,North
C386,70,Female,129787,90,44,220,316,832,Food,7,4.2,0,East
C387,23,Female,43888,85,32,179,71,447,Fashion,2,3.5,0,West
C388,52,Female,37630,62,27,119,29,326,Sports,0,4.0,0,West
C389,58,Female,81063,49,19,265,38,490,Fashion,1,2.8,1,North
